ID,Term,Language_Type,Major1,Major2,Major3,Minors,Division1,years
356291,1189,A,RELI,,,HIST-MN,SBS,2018
339371,1189,A,ENGL,,,FILM-MN,HA,2018
355367,1189,A,PSYC,SISP,,,NSM,2018
356345,1189,A,ENGL,,,,HA,2018
339355,1189,A,MUSC,PSYC,,,HA,2018
335981,1189,A,CHEM,COMP,PHYS,,NSM,2018
355359,1189,A,ENGL,FGSS,,,HA,2018
339669,1189,A,FILM,GOVT,,,HA,2018
355297,1189,A,DANC,PSYC,,,HA,2018
355383,1189,A,AMST,FGSS,,,SBS,2018
356309,1189,A,FILM,,,,HA,2018
356544,1189,A,PSYC,,,AFST-MN,NSM,2018
361648,1189,A,AFAM,FILM,,,SBS,2018
334737,1189,A,BIOL,MATH,NS&B,,NSM,2018
335367,1189,A,PHYS,,,,NSM,2018
335795,1189,A,COMP,MATH,,,NSM,2018
335806,1189,A,PHYS,,,,NSM,2018
335848,1189,A,COMP,,,,NSM,2018
333658,1189,A,GOVT,,,,SBS,2018
355315,1189,A,GOVT,HIST,,,SBS,2018
355334,1189,A,ENGL,,,FILM-MN,HA,2018
355346,1189,A,ENGL,,,,HA,2018
355409,1189,A,AMST,ENGL,,,SBS,2018
356313,1189,A,,,,,"  .",2018
356463,1189,A,FILM,,,,HA,2018
339419,1189,A,ENGL,,,HIST-MN,HA,2018
339664,1189,A,PHIL,,,,SBS,2018
355296,1189,A,HIST,,,,SBS,2018
355356,1189,A,ECON,MATH,,,SBS,2018
356439,1189,A,MATH,,,,NSM,2018
356640,1189,A,HIST,,,,SBS,2018
356402,1189,A,NS&B,PSYC,THEA,,NSM,2018
339448,1189,A,ECON,,,,SBS,2018
339374,1189,A,PHIL,,,,SBS,2018
356601,1189,A,ENGL,HIST,,,HA,2018
339655,1189,A,GOVT,HIST,,,SBS,2018
333849,1189,A,PHIL,,,,SBS,2018
330873,1189,A,ECON,,,,SBS,2018
339783,1189,A,PSYC,,,,NSM,2018
356298,1189,A,FILM,THEA,,,HA,2018
339366,1189,A,FGSS,SOC,,EDST-MN,IDS,2018
339390,1189,A,PSYC,,,,NSM,2018
356466,1189,A,BIOL,,,,NSM,2018
356530,1189,A,FGSS,PSYC,,,IDS,2018
356541,1189,A,ECON,GOVT,,DATA-MN,SBS,2018
339527,1189,A,AMST,ENGL,,FILM-MN,SBS,2018
