years,Language_Type,Division1,COUNT,PERCENT,PCT_ROW,PCT_COL
2018,A,"  .",1,0.4672897196,1.3888888889,33.333333333
2018,A,HA,16,7.476635514,22.222222222,32.653061224
2018,A,IDS,7,3.2710280374,9.7222222222,33.333333333
2018,A,NSM,21,9.8130841121,29.166666667,42
2018,A,SBS,27,12.61682243,37.5,29.67032967
2018,B,"  .",2,0.9345794393,3.125,66.666666667
2018,B,HA,11,5.1401869159,17.1875,22.448979592
2018,B,IDS,1,0.4672897196,1.5625,4.7619047619
2018,B,NSM,18,8.4112149533,28.125,36
2018,B,SBS,32,14.953271028,50,35.164835165
2018,C,HA,2,0.9345794393,18.181818182,4.0816326531
2018,C,IDS,4,1.8691588785,36.363636364,19.047619048
2018,C,NSM,1,0.4672897196,9.0909090909,2
2018,C,SBS,4,1.8691588785,36.363636364,4.3956043956
2018,D,HA,20,9.3457943925,29.850746269,40.816326531
2018,D,IDS,9,4.2056074766,13.432835821,42.857142857
2018,D,NSM,10,4.6728971963,14.925373134,20
2018,D,SBS,28,13.08411215,41.791044776,30.769230769
2019,A,HA,23,6.4971751412,17.557251908,31.944444444
2019,A,IDS,10,2.8248587571,7.6335877863,22.727272727
2019,A,NSM,46,12.994350282,35.114503817,46
2019,A,SBS,52,14.689265537,39.694656489,39.097744361
2019,B,HA,9,2.5423728814,10.465116279,12.5
2019,B,IDS,6,1.6949152542,6.976744186,13.636363636
2019,B,NSM,32,9.0395480226,37.209302326,32
2019,B,SBS,39,11.016949153,45.348837209,29.323308271
2019,C,"  .",1,0.2824858757,4.1666666667,20
2019,C,HA,2,0.5649717514,8.3333333333,2.7777777778
2019,C,IDS,10,2.8248587571,41.666666667,22.727272727
2019,C,NSM,5,1.4124293785,20.833333333,5
2019,C,SBS,6,1.6949152542,25,4.5112781955
2019,D,"  .",4,1.1299435028,3.5398230088,80
2019,D,HA,38,10.734463277,33.628318584,52.777777778
2019,D,IDS,18,5.0847457627,15.92920354,40.909090909
2019,D,NSM,17,4.802259887,15.044247788,17
2019,D,SBS,36,10.169491525,31.85840708,27.067669173
2020,A,HA,12,8.0536912752,16.901408451,44.444444444
2020,A,IDS,4,2.6845637584,5.6338028169,26.666666667
2020,A,NSM,35,23.489932886,49.295774648,66.037735849
2020,A,SBS,20,13.422818792,28.169014085,41.666666667
2020,B,"  .",3,2.0134228188,10.344827586,50
2020,B,HA,3,2.0134228188,10.344827586,11.111111111
2020,B,IDS,1,0.6711409396,3.4482758621,6.6666666667
