ID,Term,Language_Type,Major1,Major2,Major3,Minors
356291,1189,A,RELI,,,HIST-MN
339371,1189,A,ENGL,,,FILM-MN
355367,1189,A,PSYC,SISP,,
356345,1189,A,ENGL,,,
339355,1189,A,MUSC,PSYC,,
335981,1189,A,CHEM,COMP,PHYS,
355359,1189,A,ENGL,FGSS,,
339669,1189,A,FILM,GOVT,,
355297,1189,A,DANC,PSYC,,
355383,1189,A,AMST,FGSS,,
356309,1189,A,FILM,,,
356544,1189,A,PSYC,,,AFST-MN
361648,1189,A,AFAM,FILM,,
334737,1189,A,BIOL,MATH,NS&B,
335367,1189,A,PHYS,,,
335795,1189,A,COMP,MATH,,
335806,1189,A,PHYS,,,
335848,1189,A,COMP,,,
333658,1189,A,GOVT,,,
355315,1189,A,GOVT,HIST,,
355334,1189,A,ENGL,,,FILM-MN
355346,1189,A,ENGL,,,
355409,1189,A,AMST,ENGL,,
356313,1189,A,,,,
356463,1189,A,FILM,,,
339419,1189,A,ENGL,,,HIST-MN
339664,1189,A,PHIL,,,
355296,1189,A,HIST,,,
355356,1189,A,ECON,MATH,,
356439,1189,A,MATH,,,
356640,1189,A,HIST,,,
356402,1189,A,NS&B,PSYC,THEA,
339448,1189,A,ECON,,,
339374,1189,A,PHIL,,,
356601,1189,A,ENGL,HIST,,
339655,1189,A,GOVT,HIST,,
333849,1189,A,PHIL,,,
330873,1189,A,ECON,,,
339783,1189,A,PSYC,,,
356298,1189,A,FILM,THEA,,
339366,1189,A,FGSS,SOC,,EDST-MN
339390,1189,A,PSYC,,,
356466,1189,A,BIOL,,,
356530,1189,A,FGSS,PSYC,,
356541,1189,A,ECON,GOVT,,DATA-MN
339527,1189,A,AMST,ENGL,,FILM-MN
356497,1189,A,E&ES,ENGL,,
335360,1189,A,HIST,PSYC,,MDST-MN
339407,1189,A,ECON,PSYC,,
356307,1189,A,ECON,GOVT,,
356922,1189,A,PSYC,,,
339480,1189,A,COMP,,,
356312,1189,A,ENGL,THEA,,
356318,1189,A,AFAM,,,
356451,1189,A,ECON,,,
335353,1189,A,COMP,PHYS,,
356501,1189,A,CEAS,GOVT,,
339616,1189,A,GOVT,,,
339832,1189,A,ECON,,,
361536,1189,A,ENGL,,,
335350,1189,A,MATH,,,CEAS-MN
356366,1189,A,GOVT,MUSC,,
339770,1189,A,SISP,,,FILM-MN
339403,1189,A,PSYC,SISP,,
339831,1189,A,SISP,,,
356619,1189,A,BIOL,SISP,,
356795,1189,A,SISP,,,
339663,1189,A,AMST,,,DATA-MN
355418,1189,A,GOVT,HIST,,
356321,1189,A,UNIV,,,
356660,1189,A,COMP,,,
339551,1189,A,ARST,SOC,,IDEA-MN
339524,1189,B,COMP,,,DATA-MN
339435,1189,B,GOVT,,,
339535,1189,B,GOVT,,,CEAS-MN
339766,1189,B,AFAM,,,
356342,1189,B,HIST,,,RELI-MN
356369,1189,B,CSS,,,
356407,1189,B,SOC,,,"DATA-MN,FILM-MN"
356413,1189,B,SOC,,,EDST-MN
356622,1189,B,AMST,,,
356642,1189,B,AMST,GOVT,,
356677,1189,B,CSS,,,
339758,1189,B,AFAM,GOVT,,
356285,1189,B,ECON,FILM,,
355328,1189,B,ANTH,,,DATA-MN
356292,1189,B,ANTH,,,
356510,1189,B,SOC,,,
356520,1189,B,ANTH,,,
356618,1189,B,CCIV,THEA,,
356942,1189,B,ARST,,,
339362,1189,B,PSYC,,,
339396,1189,B,ARHA,,,
339406,1189,B,ENGL,,,
339422,1189,B,PSYC,SISP,,
339424,1189,B,PSYC,,,IDEA-MN
339436,1189,B,SOC,,,
339457,1189,B,GOVT,SOC,,
339615,1189,B,PSYC,,,DATA-MN
339637,1189,B,AFAM,,,
339672,1189,B,PHIL,,,
339784,1189,B,NS&B,,,
355361,1189,B,PSYC,,,
355384,1189,B,AMST,PSYC,,
356337,1189,B,ECON,GOVT,,
356347,1189,B,ARHA,,,
356423,1189,B,,,,
356424,1189,B,NS&B,SISP,,
356488,1189,B,FILM,,,
356493,1189,B,PSYC,,,
356523,1189,B,GOVT,PSYC,,EDST-MN
356547,1189,B,PSYC,,,
356570,1189,B,ARHA,,,
356689,1189,B,NS&B,SISP,,
356586,1189,B,THEA,,,"CEAS-MN,EDST-MN"
356650,1189,B,CHEM,ENVS,,
335803,1189,B,MATH,,,
355344,1189,B,ENGL,,,HIST-MN
339674,1189,B,ANTH,SOC,,
355302,1189,B,GOVT,HIST,,
356359,1189,B,PHYS,,,
356694,1189,B,PSYC,,,
356465,1189,B,GOVT,PSYC,,
356415,1189,B,FILM,PSYC,,
339372,1189,B,ENGL,,,
355398,1189,B,SOC,,,DATA-MN
339387,1189,B,BIOL,,,
339437,1189,B,,,,
339482,1189,B,GOVT,SOC,,EDST-MN
339493,1189,B,ECON,,,
339656,1189,B,PSYC,,,EDST-MN
339789,1189,B,RELI,,,ARHA-MN
356371,1189,B,ENGL,HIST,,
356406,1189,B,GOVT,,,"CEAS-MN,ECON-MN"
356605,1189,B,CSS,,,
361628,1189,B,ENVS,PSYC,,
339465,1189,C,CEAS,,,
356602,1189,C,GOVT,,,
356600,1189,C,CSS,ENVS,,
339346,1189,C,FRST,GOVT,,
339479,1189,C,BIOL,FRST,,
355354,1189,C,CSS,,,
339477,1189,C,CEAS,,,FILM-MN
355403,1189,C,ARST,SOC,,
318920,1189,C,ECON,,,"CEAS-MN,DATA-MN"
355349,1189,C,CEAS,,,
356480,1189,C,CEAS,ENGL,,
356300,1189,D,ANTH,,,
356638,1189,D,ECON,GOVT,,
335870,1189,D,AMST,,,"CEAS-MN,EDST-MN"
339351,1189,D,ANTH,PSYC,,
356504,1189,D,GOVT,LAST,,
356538,1189,D,HISP,SOC,,
335488,1189,D,COMP,,,
339369,1189,D,NS&B,,,
339589,1189,D,CHEM,,,
339638,1189,D,NS&B,,,
340591,1189,D,ITST,NS&B,,
355379,1189,D,ITST,,,
356282,1189,D,CSS,ITST,,
356308,1189,D,ARHA,ITST,,
356319,1189,D,ITST,PSYC,,
356587,1189,D,ENGL,ITST,,
356668,1189,D,AFAM,ITST,,
361446,1189,D,CSS,,,
356470,1189,D,ANTH,FILM,,
356633,1189,D,CHEM,HISP,,
335133,1189,D,CEAS,PSYC,,
356648,1189,D,CEAS,CSS,,
356560,1189,D,PSYC,,,IDEA-MN
333636,1189,D,ECON,GOVT,,
336219,1189,D,BIOL,HISP,NS&B,
339352,1189,D,GOVT,PSYC,,
339388,1189,D,HIST,,,
339395,1189,D,ECON,HISP,,
339404,1189,D,ENGL,HISP,,
339621,1189,D,NS&B,,,
355329,1189,D,ENGL,HISP,,
355365,1189,D,HISP,,,
356295,1189,D,GOVT,HISP,,
356305,1189,D,HIST,,,
356325,1189,D,ARHA,HISP,,
356376,1189,D,ECON,HISP,,
356404,1189,D,GOVT,MATH,,FILM-MN
356543,1189,D,HISP,PSYC,,FILM-MN
356564,1189,D,CSS,HISP,,
356572,1189,D,ECON,GOVT,,
356611,1189,D,ENGL,,,EDST-MN
356663,1189,D,ECON,HISP,LAST,
356719,1189,D,GOVT,HISP,,
303226,1189,D,CCIV,FRST,,
330588,1189,D,ECON,FRST,,
339347,1189,D,ECON,FRST,,
339381,1189,D,COMP,ECON,,
339476,1189,D,ECON,HIST,,
339661,1189,D,FRST,PSYC,,EDST-MN
339676,1189,D,ARST,SOC,,ARHA-MN
355342,1189,D,ENGL,FRST,GOVT,
355394,1189,D,AMST,FGSS,,
355419,1189,D,ENGL,FRST,THEA,
356332,1189,D,ENGL,PSYC,,EDST-MN
356338,1189,D,COMP,MATH,,
356367,1189,D,ARHA,FRST,,
356429,1189,D,ENGL,PHIL,,
356433,1189,D,FRST,HIST,,
356456,1189,D,FRST,SOC,,
356531,1189,D,ENGL,SOC,,
356553,1189,D,FRST,HIST,,
356606,1189,D,CSS,GOVT,,
356616,1189,D,FRST,NS&B,,
356617,1189,D,FRST,,,
356653,1189,D,ENGL,,,
339413,1189,D,GOVT,REES,,HIST-MN
339458,1189,D,SOC,,,DATA-MN
355305,1191,A,PSYC,,,EDST-MN
356351,1191,A,ENGL,,,
356484,1191,A,HIST,THEA,,
339414,1191,A,COMP,MATH,,
335981,1191,A,CHEM,COMP,PHYS,
339405,1191,A,FILM,,,AFAM-MN
339555,1191,A,AFAM,,,
339668,1191,A,AFAM,ENGL,,
334737,1191,A,BIOL,MATH,NS&B,
335367,1191,A,PHYS,,,
335795,1191,A,COMP,MATH,,
335806,1191,A,PHYS,,,
335848,1191,A,COMP,,,
